company,job,location,company_size,Founded_year,company_type,comany_industry,company_sector,Revenue
Queto,Electronic engineer,Casablanca,,,,,,
"Boston Consulting Group
4.3",Software Engineer – BCG X,Casablanca,10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
"Maersk
4.1",(Senior) Software Engineer - X Delivery,Casablanca,10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
"Netfective Technology Maroc SARL - M57
3.7",Software Engineer,Tanger-Tétouan,10000+ Employees,1928,Subsidiary or Business Segment,Marine Transportation,Transportation & Logistics,$10+ billion (USD)
"Boston Consulting Group
4.3",2024 Software Dev Engineer Intern,Rabat,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
"Boston Consulting Group
4.3","Software Engineer, Quality - X Delivery",Casablanca,10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
XHUB,BCG X Platform Engineer Manager,Casablanca,10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
XHUB,Software Engineer FRONTEND,Casablanca,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
"Stellantis
3.7",Software Engineer BACKEND,Casablanca,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
"Leyton Maroc
3.2",AD Software Engineer - Junior H/F,Casablanca,10000+ Employees,2021,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
"Lear Corporation
3.9",Software Engineer Java,Casablanca,1001 to 5000 Employees,1997,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
Technology Engineering Company,Requirements Admin Engineer,Rabat,10000+ Employees,1917,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Cbrobotics,Junior engineer in digital electronics,Rabat,,,,,,
"Eaton
3.9",Back end software engineer,Casablanca,,,,,,
"Capgemini
3.9",Software Specialist Engineer,Casablanca,10000+ Employees,1911,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD)
"PGK Conseil
3.6",Software Engineer JAVA/FULLSTACK,Casablanca,10000+ Employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
"WaystoCap
3.7",Backend software engineer junior / confirmé,Marrakech-Tensift-Al Haouz,1 to 50 Employees,2000,Company - Private,--,--,Less than $1 million (USD)
"Boston Consulting Group
4.3",Full Stack Software Engineer,Casablanca,1 to 50 Employees,--,Private Practice / Firm,--,--,Unknown / Non-Applicable
"Orange
4.1",Data Engineer - X Delivery,Casablanca,10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
ALPHA10X,Software Engineer - DS- Développeur Fullstack,Rabat,10000+ Employees,1994,Company - Private,Telecommunications Services,Telecommunications,$10+ billion (USD)
"Société Générale
3.9",Software Intern - Python,Morocco,1 to 50 Employees,2018,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
"Maersk
4.1",Team Leader – Software Engineer- H/F/X,Casablanca,10000+ Employees,1864,Company - Private,Investment & Asset Management,Financial Services,$10+ billion (USD)
"Orange
4.1",Systems Engineer,Tanger-Tétouan,10000+ Employees,1928,Subsidiary or Business Segment,Marine Transportation,Transportation & Logistics,$10+ billion (USD)
YouCan,Software Engineer,Rabat,10000+ Employees,1994,Company - Private,Telecommunications Services,Telecommunications,$10+ billion (USD)
"Leyton Maroc
3.2",Data Engineer H/F,Rabat,,,,,,
"AVL
3.9",Big Data Engineer,Casablanca,1001 to 5000 Employees,1997,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
,Software and Functions Engineer,El Jadida,10000+ Employees,1948,Company - Private,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD)
"ALTEN
3.4",Junior engineer in digital electronics,Rabat,,,,,,
"Orange
4.1",Software Engineer,Rabat,10000+ Employees,1988,Company - Private,Research & Development,Management & Consulting,$1 to $5 billion (USD)
Queto,Software Engineer Java,Rabat,10000+ Employees,1994,Company - Private,Telecommunications Services,Telecommunications,$10+ billion (USD)
